Cell_ID,RNTI,CQI,Layers,MCS,CQI_Change,RI_Change,Margin_ChangeM,Nack,Alloc_RBs,DL_Aggregation_Level_1,DLAL_2,DLAL_4,DLAL_8,DLAL_16,DL-BLER,RI,DL-CQI,DL-MCS,256QAM,Small_Alloc,UL-BLER-CRC,UL-CQI,UL-MCS,C2I,256QAM_1,Meas_Gap,Connected,BeamID,ConnectedTime_min,Time_Delta,Jammer_On
1,2265,0,1,0,0,0,0,0,47,0,0,0,3,0,0,0,0,0,0,0,0,0,21,19.6,0,0,0,1,0,11,0
1,2265,0,1,0,0,0,0,0,47,0,0,0,3,0,0,0,0,0,0,0,0,0,24,21.4,0,0,0,1,0,10,0
1,2265,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,15,16.4,0,0,0,1,0,10,0
1,2265,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,13,14.0,0,0,0,1,0,10,0
1,2265,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,12,13.2,0,0,0,1,0,21,0
1,2265,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,13,13.4,0,0,0,1,0,31,0
1,2265,6,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,8,9.4,0,0,0,1,0,10,0
1,2265,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13.4,0,0,0,1,0,31,0
1,2265,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14.6,0,0,0,1,0,21,0
1,2265,6,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,12,12.6,0,0,0,1,0,11,0
1,2265,6,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,8,9.4,0,0,0,1,0,10,0
1,2265,5,1,0,0,0,0,0,2,0,0,0,0,0,0,1,6,0,0,0,0,0,8,9.4,0,0,0,1,0,20,0
