Cell_ID,RNTI,CQI,Layers,MCS,CQI_Change,RI_Change,Margin_ChangeM,Nack,Alloc_RBs,DL_Aggregation_Level_1,DLAL_2,DLAL_4,DLAL_8,DLAL_16,DL-BLER,RI,DL-CQI,DL-MCS,256QAM,Small_Alloc,UL-BLER-CRC,UL-CQI,UL-MCS,C2I,256QAM_1,Meas_Gap,Connected,BeamID,ConnectedTime_min,Time_Delta,Jammer_On,Jammer_Frequency,Jammer_Bandwith,Jammer_Power
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,8,0,24,20.0,0,0,0,1,0,11,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,1,1,13,24,0,0,8,0,24,20.0,0,0,0,1,0,1056,1,1,2,4
1,2306,15,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,11,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,15,1,24,0,0,0,0,2,0,0,0,0,0,0,1,15,24,0,0,9,0,24,19.4,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.0,0,0,0,1,0,11,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,19.8,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,19.8,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,100,0,24,20.4,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.2,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,100,0,24,20.4,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,100,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,100,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,23,19.6,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.6,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,23,19.6,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.6,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.2,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.4,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,25,20.4,0,0,0,1,0,10,1,1,2,4
1,2306,13,1,24,0,0,0,0,2,0,0,0,0,0,0,1,13,24,0,0,0,0,24,19.4,0,0,0,1,0,10,1,1,2,4
1,2306,14,1,24,1,0,0,0,2,0,0,0,0,0,0,1,14,24,0,0,0,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,14,1,24,0,0,0,0,2,0,0,0,0,0,0,1,14,24,0,0,0,0,24,20.0,0,0,0,1,0,10,1,1,2,4
1,2306,14,1,24,0,0,0,0,2,0,0,0,0,0,0,1,14,24,0,0,0,0,24,19.8,0,0,0,1,0,10,1,1,2,4
