Cell_ID,RNTI,CQI,Layers,MCS,CQI_Change,RI_Change,Margin_ChangeM,Nack,Alloc_RBs,DL_Aggregation_Level_1,DLAL_2,DLAL_4,DLAL_8,DLAL_16,DL-BLER,RI,DL-CQI,DL-MCS,256QAM,Small_Alloc,UL-BLER-CRC,UL-CQI,UL-MCS,C2I,256QAM_1,Meas_Gap,Connected,BeamID,ConnectedTime_min,Time_Delta,Jammer_On,Jammer_Frequency,Jammer_Bandwith,Jammer_Power
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,27/0,26,0,0,0,1,0,51,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,27.6,0,0,0,1,0,41,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,28.4,0,0,0,1,0,20,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,22/0,20.6,0,0,0,1,0,10,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,22/0,20.6,0,0,0,1,0,11,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,26.4,0,0,0,1,0,10,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,28,0,0,0,1,0,10,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,30,0,0,0,1,0,11,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,30,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,1,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,30,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,30,0,0,0,1,0,30,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,27.2,0,0,0,1,0,21,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,26.6,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,28/0,27.2,0,0,0,1,0,10,0,0,0,0
1,2265,15,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,15/0,27/0,0,0,0,0/0,27/0,25.6,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,1,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,26.2,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,26.2,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,26.2,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,27.6,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,27.6,0,0,0,1,0,11,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,27,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,27/0,0,0,0,0/0,28/0,27.2,0,0,0,1,0,30,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,27/0,0,0,0,0/0,28/0,27,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,27/0,0,0,0,0/0,28/0,28,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,27/0,0,0,0,0/0,28/0,27.4,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,27/0,0,0,0,0/0,28/0,28,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,27,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,27,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,26,7,0,0,0.00%,2,10,0,0,0,0,0/0,02.01.2002,14/0,27/0,0,0,0,0/0,28/0,27,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,27/0,25.4,0,0,0,1,0,51,0,0,0,0
1,2265,13,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,27/0,25.4,0,0,0,1,0,40,0,0,0,0
1,2265,14,2,26,1,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,27/0,25.4,0,0,0,1,0,30,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,27/0,25.4,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,26/0,0,0,0,0/0,27/0,25.8,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,26/0,0,0,0,0/0,26/0,24.6,0,0,0,1,0,31,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,27/0,25.4,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,26/0,0,0,0,0/0,25/0,24,0,0,0,1,0,40,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,23/0,21.8,0,0,0,1,0,30,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,24/0,0,0,0,0/0,21/0,19.8,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,20/0,19.2,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,26,1,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,20/0,19.2,0,0,0,1,0,21,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,25/0,23,0,0,0,1,0,20,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,25/0,23,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,24/0,0,0,0,0/0,24/0,22.4,0,0,0,1,0,20,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,23/0,21.2,0,0,0,1,0,10,0,0,0,0
1,2265,14,2,26,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,14/0,26/0,0,0,0,0/0,22/0,20.4,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,26,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,26/0,0,0,0,0/0,23/0,20.8,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,26/0,0,0,0,0/0,23/0,20.8,0,0,0,1,0,21,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,19/0,17.2,0,0,0,1,0,30,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,1,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,19/0,17.2,0,0,0,1,0,20,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,19/0,17.2,0,0,0,1,0,10,0,0,0,0
1,2265,13,2,24,0,0,0,0.00%,2,0,0,0,0,0,0/0,02.01.2002,13/0,24/0,0,0,0,0/0,19/0,17.2,0,0,0,1,0,11,0,0,0,0
